,cnterNm,rdnmadr,latitude,longitude,ar,carHoldCo,trtmntPrdlst,institutionNm
157,북구재활용백화점,부산광역시 북구 의성로 67(덕천동),35.21449261,129.0097456,55,1,가전제품+가구류+식당용품,부산광역시 북구청
158,종합재활용센터,부산광역시 북구 백양대로1091번길 19(구포동),35.20221416,128.9979855,23,1,가전제품(에어컨)+가구류,부산광역시 북구청
159,구포재활용마트,부산광역시 북구 낙동북로663번길 85(구포동),35.22473299,129.0171995,132,1,가전제품+가구류,부산광역시 북구청
160,구포재활용센타,부산광역시 북구 낙동북로 657(구포동),35.20217752,128.9969637,76,1,가전제품+가구류,부산광역시 북구청
161,경남거제지역자활센터,경상남도 거제시 사등면 두동로1길 109,34.88376961,128.5736717,402,1,가구+전제품+헌옷 등,거제시청
162,완도군 자원관리센터,전라남도 완도군 완도읍 망석리 1-4 폐기물처리장,34.290004,126.769156,82332,2,플라스틱+유리병,아라연환경㈜
163,임실군 생활쓰레기처리장,전라북도 임실군 관촌면 관진로 233,35.67776657,127.2904734,1133.5,1,종이+PET+플라스틱+유리병+고철+스티로폼,전라북도 임실군청
164,여수시 재활용품선별장,전라남도 여수시 진달래길 310-157(월내동),34.84759436,127.7386021,1749.1,0,폐지+고철+철캔+알루미늄캔+유리병+잡병+페트병+플라스틱류+스티로폼,전라남도 여수시청
165,화성그린환경센터 재활용선별시설(공공),경기도 화성시 봉담읍 하가등안길 100,37.15116382,126.9377167,3513,0,"PET, PP 등",화성시
166,강진환경정화센터,전라남도 강진군 강진읍 남당로 97-73,34.623583,126.776748,124491,12,각종생활쓰레기,전라남도 강진군
167,목동재활용센터,서울특별시 양천구 목동서로 262,37.523944,126.869111,1087.9,3,책장+장롱+소파+냉장고+TV,서울특별시 양천구청
168,시흥시 환경미화타운,경기도 시흥시 뒷방울길 80,37.37179188,126.7573247,27086,11,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,경기도 시흥시청
169,동래구 재활용센터,부산광역시 동래구 충렬대로202번길 33(수안동),35.201229,129.0819157,231.4,1,가구 및 가전제품,부산광역시 동래구 청소과
170,수성구 생활자원회수센터,대구광역시 수성구 청호로 10,35.82020842,128.6491827,2710,4,플라스틱+비닐+스티로폼+병+종이+고철,대구광역시 수성구청
171,정선군재활용선별시설,강원도 정선군 남면 광락로 691-233,37.30727229,128.6787899,1736,1,플라스틱+캔+고철+목재,강원도 정선군청
172,중구재활용센터,인천광역시 중구 서해대로 324,37.4557581,126.6296378,2450.88,7,가구+가전제품,인천광역시 중구청 환경보호과
173,강릉시자원순환센터,강원도 강릉시 강동면 임곡로 557-13,37.69266797,128.9879447,2085.45,5,페트병+고철+공병+프라스틱+폐지+알루미늄캔+파병+잡병,강원도 강릉시청
174,횡성군재활용선별장,강원도 횡성군 횡성읍 학오로 89,37.51123196,127.9701806,450,0,플락스틱+고철+캔+파지,강원도 횡성군청
175,광진구 재활용센터,서울특별시 광진구 능동로 352-1(중곡동),37.56081954,127.0817523,378.1,3,가전+가구,서울특별시 광진구청
176,신수영재활용마트,부산광역시 수영구 연수로392번길 18(광안동),35.16864148,129.1116115,198,1,가전 가구,부산광역시 수영구
177,통영시 재활용품 상설판매장,경상남도 통영시 동충1길 4(항남동),34.83982251,128.4221417,263,1,의류+가방+신발+재활용비누+장난감+잡화 등,경상남도 통영시청
178,정읍시 재활용선별장,전라북도 정읍시 영파길 169,35.61423844,126.8549416,1047,3,플라스틱+스티로폼+병+종이+고철+비고철+장판,전라북도 정읍시청
179,춘천시 재활용센터,강원도 춘천시 뒷들길30번길 16,37.89238,127.751638,158,1,중고가전가구제품,강원도 춘천시청
180,(합자)청명산업,강원도 춘천시 동면 소양강로 242,37.908602,127.749173,153,1,중고가전가구제품,강원도 춘천시청
181,신바람 할인매장,강원도 춘천시 공지로 257,37.864773,127.735409,159,1,중고가전가구제품,강원도 춘천시청
182,금산군 생활자원회수센터,충청남도 금산군 추부면 용천로798-51,36.17116665,127.4411889,1124,0,PET+공병+파지+고철,충청남도 금산군청
183,사천시 재활용선별장,경상남도 사천시 환경길 71,34.92522294,128.1138245,1234,5,잉코트 외 11개 품목,사천시
184,연제구 환경자원관리소,부산광역시 연제구 고분로 222,35.183252,129.106349,2864,0,폐지+고철+캔류+플라스틱류 등,부산광역시 연제구청
185,충주시클린센터,"충청북도 충주시 낙수당1길 41(칠금동, 클린센터)",36.98235533,127.9016585,100,25,세탁기+냉장고+가구,충청북도 충주시청
186,맑은누리센터 재활용선별시설,충청남도 예산군 대률송림길 280 (대흥면),36.66333984,126.8412887,1034.58,2,플라스틱+철+병+종이,충청남도 예산군청
