,cnterNm,rdnmadr,latitude,longitude,ar,carHoldCo,trtmntPrdlst,institutionNm
65,곡성군 재활용품 선별장,전라남도 곡성군 곡성읍 곡고로 98-157,35.28181261,127.3252385,2066,2,플라스틱병+캔류,곡성군
66,옥천군 생활자원회수센터,충청북도 옥천군 군북면 이평1길 199,36.34698788,127.5781691,1331,3,재활용가능자원,옥천군청
67,관악구 재활용센터(봉천점),서울특별시 관악구 봉천동 남부순환로 1663,37.4851166,126.9355291,718.6,2,가전제품+가구,서울특별시 관악구청
68,관악구 재활용센터(신림점),서울특별시 관악구 신림동 남부순환로 1494,37.48190245,126.9165962,729.98,2,가전제품+가구,서울특별시 관악구청
69,관악구 재활용센터(신림2점),서울특별시 관악구 신림로 202,37.47542075,126.9372603,261.52,1,가전제품+가구,서울특별시 관악구청
70,괴산광역생활자원회수센터,충청북도 괴산군 괴산읍 능촌로2길 70-37,36.83184835,127.8341003,270,0,캔류.병류,괴산군
71,구미시 재활용품 전시판매장,경상북도 구미시 신시로10길 118,36.114273,128.351282,626.7,1,가전+가구,경북 구미시청
72,김해시 재활용품선별장,경상남도 김해시 한림면 김해대로 835번길 13-72,35.299424,128.7783286,15989,1,재활용품,경상남도 김해시청
73,고흥자원재활용센터,전라남도 고흥군 고흥읍 봉계2길 142,34.59718491,127.290166,3452,17,생활폐기물,고흥군
74,목포시 재활용선별센터,전라남도 목포시 대양로 241-55,34.82798253,126.4080458,1400,4,"페트, 혼합플라스틱, 철캔, 고철, 폐지, 알캔, 플라스틱, 병류, 스티로폼 등",전라남도 목포시청
75,서구재활용센터,부산광역시 서구 충무대로 120(암남동),35.0810401,129.024756,184,1,가구+가전,부산광역시 서구청
76,스마일재활용센터,부산광역시 서구 구덕로 151(초장동),35.098152,129.020272,99,1,가전,부산광역시 서구청
77,군포시 새활용타운,경기도 군포시 번영로 145,37.32914529,126.9301236,6752,8,재활용품,군포시청(위생자원과)
78,논산시재활용센터,충청남도 논산시 부창로 72,36.19560375,127.0856077,1871.9,0,고철+의류+파지(신문) 등,충청남도 논산시청
79,연무읍재활용센터,충청남도 논산시 연무읍 안심로 50,36.12512245,127.0990302,108,0,고철+의류+파지(신문) 등,충청남도 논산시청
80,청도환경관리센터,경상북도 청도군 매전면 중앙로 84-460,35.63481445,128.777845,700,9,종이+신문지류+캔류+플라스틱류+PET류+유리병류+고철류+스치로폼류 등,경상북도 청도군청
81,남부재활용센터,부산광역시 남구 홍곡로 26(감만동),35.1161314,129.082796,52,1,가전제품,부산광역시 남구청
82,재활용선별장,경기도 양주시 은현면 은남로 160,37.89328531,127.0100091,44134,2,파지+고철+플라스틱 등,양주시 청소행정과
83,환경자원센터,강원도 양양군 양양읍 되넘이길 80,38.0937569,128.571566,1257,3,재활용품 선별,양양군청
84,해운대구자원재활용센터,부산광역시 해운대구 석대천로118(반여동),35.21765981,129.1375089,6632,2,스티로폼+플라스틱 등 재활용 자원,자원순환과
85,수원시자원순환센터,경기도 수원시 영통구 광교호수로 278-1(하동),37.28924123,127.086283,90444,18,플라스틱+스티로폼+병류+고철+알루미늄 캔 등,경기도 수원시
86,주안사무용가구와중고알뜰센터,인천광역시 미추홀구 인주대로 427,37.45139089,126.6841738,319.42,1,"가정용 가전·가구, 사무용 가구",인천 미추홀구청 자원순환과
87,차차차 중고가전가구마트,인천광역시 미추홀구 경인로 108,37.46597809,126.6545871,192.4,1,"가정용 가전·가구, 사무용 가구",인천 미추홀구청 자원순환과
88,동두천시 재활용선별장,경기도 동두천시 강변로 872,37.94229789,127.0563814,7887,3,종이+유리병+비닐+고철 등,동두천시청 환경보호과
89,원주시 중고가전가구재활용센터(1호점),강원도 원주시 치악로 1601-6(단구동),37.32612272,127.9599504,495,2,중고가구가전제품,강원도 원주시청
90,원주시 중고가전가구재활용센터(2호점),강원도 원주시 원일로 214(학성동),37.3557821,127.9444831,330,1,중고가구가전제품,강원도 원주시청
91,강동구가전가구재활용센터,서울특별시 강동구 동남로 930,37.55699643,127.1569746,1653,6,중고가전가구 생활용품 판매,강동구청 청소행정과
92,광양시 재활용 선별장,전라남도 광양시 광양읍 직동2길 113,34.95596761,127.6458382,7587,2,"PET, 플라스틱, 고철, 유리병, 종이 등",전라람도 광양시청
93,부산진구 재활용센터,부산광역시 부산진구 신천대로 155(부전동),35.15563315,129.0507411,145,1,중고가구 및 잡화,부산진구청
94,대정읍 구억리 재활용 도움센터,제주특별자치도 서귀포시 대정읍 영어도시로 35-3,33.2755102,126.2762766,98.94,0,생활쓰레기 배출,제주특별자치도 서귀포시청
95,새서귀포 재활용 도움센터,제주특별자치도 서귀포시 신서귀로 87(법환동),33.2563333,126.5078479,86.21,0,생활쓰레기 배출,제주특별자치도 서귀포시청
96,성산읍 성산리 재활용 도움센터,제주특별자치도 서귀포시 성산읍 일출로 221,33.4600127,126.9299495,96.8,0,생활쓰레기 배출,제주특별자치도 서귀포시청
97,성산읍 온평리 재활용 도움센터,제주특별자치도 서귀포시 성산읍 온평포구로62번길 13,33.4014609,126.9025243,86.94,0,생활쓰레기 배출,제주특별자치도 서귀포시청
98,호근 재활용 도움센터,제주특별자치도 서귀포시 호근로26번길 10(호근동),33.2541798,126.526722,79.12,0,생활쓰레기 배출,제주특별자치도 서귀포시청
99,안덕면 감산리 재활용 도움센터,제주특별자치도 서귀포시 안덕면 일주서로 1519,33.2582489,126.3540239,91.42,0,생활쓰레기 배출,제주특별자치도 서귀포시청
100,남원읍 남원리 재활용 도움센터,제주특별자치도 서귀포시 남원읍 남태해안로 100,33.276156,126.717255,108.66,0,생활쓰레기 배출,제주특별자치도 서귀포시청
101,동홍동 재활용 도움센터,제주특별자치도 서귀포시 동홍로 162번길 45(동홍동),33.26469223,126.5717238,99,0,생활쓰레기 배출,제주특별자치도 서귀포시청
102,대정읍 하모3리 재활용 도움센터,제주특별자치도 서귀포시 대정읍 신영로36번길 69-11,33.2205077,126.247593,103.8,0,생활쓰레기 배출,제주특별자치도 서귀포시청
103,효돈동 재활용 도움센터,제주특별자치도 서귀포시 월라봉로34번길 37(신효동),33.26637377,126.6092289,103.1,0,생활쓰레기 배출,제주특별자치도 서귀포시청
104,표선면 표선리 재활용 도움센터,제주특별자치도 서귀포시 표선면 표선동서로 203-1,33.32271567,126.8303841,90,0,생활쓰레기 배출,제주특별자치도 서귀포시청
105,마라도 재활용 도움센터,제주특별자치도 서귀포시 대정읍 마라로 127,33.11396198,126.267786,165.58,0,생활쓰레기 배출,제주특별자치도 서귀포시청
106,중문동 재활용 도움센터,제주특별자치도 서귀포시 중문상로17번길 3(중문동),33.24996571,126.4240592,83.8,0,생활쓰레기 배출,제주특별자치도 서귀포시청
107,서홍동 재활용 도움센터,제주특별자치도 서귀포시 홍중로 28(서홍동),33.2553975,126.556187,53.98,0,생활쓰레기 배출,제주특별자치도 서귀포시청
108,천지동 재활용 도움센터,제주특별자치도 서귀포시 서문서로 46-1(서귀동),33.2509829,126.5587432,85,0,생활쓰레기 배출,제주특별자치도 서귀포시청
109,송파구재활용센터,서울특별시 송파구 문정로246 (마천동),37.4999099,127.1420313,627.75,3,"가전제품, 가구 등",서울특별시 송파구청
110,영등포구 재활용센터,서울특별시 영등포구 대방천로 207,37.498725,126.913851,518.92,1,가전+가구류 등,영등포구청 청소과
111,거제YWCA 아나바다 재활용센터,경상남도 거제시 탑곡로 75 (아주동),34.86244036,128.691074,192,1,가구+전제품+헌옷 등,거제시청
112,중구새마을부녀회알뜰매장,대전광역시 중구 대종로386번길 69,36.32142495,127.4340625,198,1,옷+신발+가방 등,새마을운동 대전광역시중구지회
113,평택시북부재활용센터,경기도 평택시 밀월로 15번길 83-10,37.07892172,127.0514802,154.56,1,가전제품+가구류 등,경기도 평택시청
114,평택시서부재활용센터,경기도 평택시 안중읍 서동대로 1731-3,36.99206481,126.9401848,184.86,1,가전제품+가구류 등,경기도 평택시청
