행정구역별,year,주민1인당 생활폐기물배출량,생활폐기물발생량,주민등록인구
중구,2010,0.9,529.2,92890
중구,2010,0.9,529.2,265846
중구,2010,0.9,529.2,232915
중구,2010,0.9,79.0,132822
중구,2010,0.9,79.0,49442
중구,2010,0.9,79.0,77857
중구,2010,0.9,79.0,92890
중구,2010,0.9,79.0,265846
중구,2010,0.9,79.0,232915
중구,2010,0.9,198.1,132822
중구,2010,0.9,198.1,49442
중구,2010,0.9,198.1,77857
중구,2010,0.9,198.1,92890
중구,2010,0.9,198.1,265846
중구,2010,0.9,198.1,232915
중구,2010,0.9,205.2,132822
중구,2010,0.9,205.2,49442
중구,2010,0.9,205.2,77857
중구,2010,0.9,205.2,92890
중구,2010,0.9,205.2,265846
중구,2010,0.9,205.2,232915
중구,2010,0.9,266.7,132822
중구,2010,0.9,266.7,49442
중구,2010,0.9,266.7,77857
중구,2010,0.9,266.7,92890
중구,2010,0.9,266.7,265846
중구,2010,0.9,266.7,232915
중구,2010,0.9,207.4,132822
중구,2010,0.9,207.4,49442
중구,2010,0.9,207.4,77857
중구,2010,0.9,207.4,92890
중구,2010,0.9,207.4,265846
중구,2010,0.9,207.4,232915
용산구,2010,0.8,203.7,244853
성동구,2010,0.9,282.0,309093
광진구,2010,1.0,392.3,375463
동대문구,2010,1.1,409.4,366786
중랑구,2010,0.5,214.9,427455
성북구,2010,0.7,357.8,488932
강북구,2010,0.7,233.4,346520
도봉구,2010,1.1,400.6,368298
노원구,2010,0.7,452.9,611230
은평구,2010,0.5,264.6,488109
서대문구,2010,0.9,308.3,324541
마포구,2010,0.8,303.1,391865
양천구,2010,0.6,277.4,500001
강서구,2010,1.2,671.4,574127
강서구,2010,1.2,671.4,62594
강서구,2010,1.2,76.9,574127
강서구,2010,1.2,76.9,62594
강서구,2010,1.2,671.4,574127
강서구,2010,1.2,671.4,62594
강서구,2010,1.2,76.9,574127
강서구,2010,1.2,76.9,62594
구로구,2010,0.7,308.1,423736
금천구,2010,0.8,196.7,245195
영등포구,2010,1.3,541.1,406833
동작구,2010,0.8,323.1,402709
관악구,2010,0.6,340.0,531434
서초구,2010,1.4,589.1,434720
강남구,2010,1.7,990.5,570095
송파구,2010,1.1,733.3,685279
강동구,2010,0.5,258.5,491871
부산광역시,2010,0.9,3221.9,3567910
서구,2010,1.0,120.9,126040
서구,2010,1.0,120.9,224618
서구,2010,1.0,120.9,408068
서구,2010,1.0,120.9,303219
서구,2010,1.0,120.9,499742
서구,2010,1.0,246.0,126040
서구,2010,1.0,246.0,224618
서구,2010,1.0,246.0,408068
서구,2010,1.0,246.0,303219
서구,2010,1.0,246.0,499742
서구,2010,1.0,222.2,126040
서구,2010,1.0,222.2,224618
서구,2010,1.0,222.2,408068
서구,2010,1.0,222.2,303219
서구,2010,1.0,222.2,499742
서구,2010,1.0,342.6,126040
서구,2010,1.0,342.6,224618
서구,2010,1.0,342.6,408068
서구,2010,1.0,342.6,303219
서구,2010,1.0,342.6,499742
서구,2010,1.0,456.5,126040
서구,2010,1.0,456.5,224618
서구,2010,1.0,456.5,408068
서구,2010,1.0,456.5,303219
서구,2010,1.0,456.5,499742
서구,2010,1.1,120.9,126040
서구,2010,1.1,120.9,224618
서구,2010,1.1,120.9,408068
서구,2010,1.1,120.9,303219
서구,2010,1.1,120.9,499742
서구,2010,1.1,246.0,126040
서구,2010,1.1,246.0,224618
서구,2010,1.1,246.0,408068
서구,2010,1.1,246.0,303219
서구,2010,1.1,246.0,499742
서구,2010,1.1,222.2,126040
서구,2010,1.1,222.2,224618
서구,2010,1.1,222.2,408068
서구,2010,1.1,222.2,303219
서구,2010,1.1,222.2,499742
서구,2010,1.1,342.6,126040
서구,2010,1.1,342.6,224618
서구,2010,1.1,342.6,408068
서구,2010,1.1,342.6,303219
서구,2010,1.1,342.6,499742
서구,2010,1.1,456.5,126040
서구,2010,1.1,456.5,224618
서구,2010,1.1,456.5,408068
서구,2010,1.1,456.5,303219
서구,2010,1.1,456.5,499742
서구,2010,0.5,120.9,126040
서구,2010,0.5,120.9,224618
서구,2010,0.5,120.9,408068
서구,2010,0.5,120.9,303219
서구,2010,0.5,120.9,499742
서구,2010,0.5,246.0,126040
서구,2010,0.5,246.0,224618
서구,2010,0.5,246.0,408068
서구,2010,0.5,246.0,303219
서구,2010,0.5,246.0,499742
서구,2010,0.5,222.2,126040
서구,2010,0.5,222.2,224618
서구,2010,0.5,222.2,408068
서구,2010,0.5,222.2,303219
서구,2010,0.5,222.2,499742
서구,2010,0.5,342.6,126040
서구,2010,0.5,342.6,224618
서구,2010,0.5,342.6,408068
서구,2010,0.5,342.6,303219
서구,2010,0.5,342.6,499742
서구,2010,0.5,456.5,126040
서구,2010,0.5,456.5,224618
서구,2010,0.5,456.5,408068
서구,2010,0.5,456.5,303219
서구,2010,0.5,456.5,499742
서구,2010,1.1,120.9,126040
서구,2010,1.1,120.9,224618
서구,2010,1.1,120.9,408068
서구,2010,1.1,120.9,303219
서구,2010,1.1,120.9,499742
서구,2010,1.1,246.0,126040
서구,2010,1.1,246.0,224618
서구,2010,1.1,246.0,408068
서구,2010,1.1,246.0,303219
서구,2010,1.1,246.0,499742
서구,2010,1.1,222.2,126040
서구,2010,1.1,222.2,224618
서구,2010,1.1,222.2,408068
서구,2010,1.1,222.2,303219
서구,2010,1.1,222.2,499742
서구,2010,1.1,342.6,126040
서구,2010,1.1,342.6,224618
서구,2010,1.1,342.6,408068
서구,2010,1.1,342.6,303219
서구,2010,1.1,342.6,499742
서구,2010,1.1,456.5,126040
서구,2010,1.1,456.5,224618
서구,2010,1.1,456.5,408068
서구,2010,1.1,456.5,303219
서구,2010,1.1,456.5,499742
서구,2010,0.9,120.9,126040
서구,2010,0.9,120.9,224618
서구,2010,0.9,120.9,408068
서구,2010,0.9,120.9,303219
서구,2010,0.9,120.9,499742
서구,2010,0.9,246.0,126040
서구,2010,0.9,246.0,224618
서구,2010,0.9,246.0,408068
서구,2010,0.9,246.0,303219
서구,2010,0.9,246.0,499742
서구,2010,0.9,222.2,126040
서구,2010,0.9,222.2,224618
서구,2010,0.9,222.2,408068
서구,2010,0.9,222.2,303219
서구,2010,0.9,222.2,499742
서구,2010,0.9,342.6,126040
서구,2010,0.9,342.6,224618
서구,2010,0.9,342.6,408068
서구,2010,0.9,342.6,303219
서구,2010,0.9,342.6,499742
서구,2010,0.9,456.5,126040
서구,2010,0.9,456.5,224618
서구,2010,0.9,456.5,408068
서구,2010,0.9,456.5,303219
서구,2010,0.9,456.5,499742
동구,2010,1.0,100.8,101514
동구,2010,1.0,100.8,337529
동구,2010,1.0,100.8,79663
동구,2010,1.0,100.8,104449
동구,2010,1.0,100.8,248835
동구,2010,1.0,100.8,170764
동구,2010,1.0,339.7,101514
동구,2010,1.0,339.7,337529
동구,2010,1.0,339.7,79663
동구,2010,1.0,339.7,104449
동구,2010,1.0,339.7,248835
동구,2010,1.0,339.7,170764
동구,2010,1.0,103.9,101514
동구,2010,1.0,103.9,337529
동구,2010,1.0,103.9,79663
동구,2010,1.0,103.9,104449
동구,2010,1.0,103.9,248835
동구,2010,1.0,103.9,170764
동구,2010,1.0,159.4,101514
동구,2010,1.0,159.4,337529
동구,2010,1.0,159.4,79663
동구,2010,1.0,159.4,104449
동구,2010,1.0,159.4,248835
동구,2010,1.0,159.4,170764
동구,2010,1.0,304.9,101514
동구,2010,1.0,304.9,337529
동구,2010,1.0,304.9,79663
동구,2010,1.0,304.9,104449
동구,2010,1.0,304.9,248835
동구,2010,1.0,304.9,170764
동구,2010,1.0,186.0,101514
동구,2010,1.0,186.0,337529
동구,2010,1.0,186.0,79663
동구,2010,1.0,186.0,104449
동구,2010,1.0,186.0,248835
동구,2010,1.0,186.0,170764
동구,2010,1.0,100.8,101514
동구,2010,1.0,100.8,337529
동구,2010,1.0,100.8,79663
동구,2010,1.0,100.8,104449
동구,2010,1.0,100.8,248835
동구,2010,1.0,100.8,170764
동구,2010,1.0,339.7,101514
동구,2010,1.0,339.7,337529
동구,2010,1.0,339.7,79663
동구,2010,1.0,339.7,104449
동구,2010,1.0,339.7,248835
동구,2010,1.0,339.7,170764
동구,2010,1.0,103.9,101514
동구,2010,1.0,103.9,337529
동구,2010,1.0,103.9,79663
동구,2010,1.0,103.9,104449
동구,2010,1.0,103.9,248835
동구,2010,1.0,103.9,170764
동구,2010,1.0,159.4,101514
동구,2010,1.0,159.4,337529
동구,2010,1.0,159.4,79663
동구,2010,1.0,159.4,104449
동구,2010,1.0,159.4,248835
동구,2010,1.0,159.4,170764
동구,2010,1.0,304.9,101514
동구,2010,1.0,304.9,337529
동구,2010,1.0,304.9,79663
동구,2010,1.0,304.9,104449
동구,2010,1.0,304.9,248835
동구,2010,1.0,304.9,170764
동구,2010,1.0,186.0,101514
동구,2010,1.0,186.0,337529
동구,2010,1.0,186.0,79663
동구,2010,1.0,186.0,104449
동구,2010,1.0,186.0,248835
동구,2010,1.0,186.0,170764
동구,2010,1.3,100.8,101514
동구,2010,1.3,100.8,337529
동구,2010,1.3,100.8,79663
동구,2010,1.3,100.8,104449
동구,2010,1.3,100.8,248835
동구,2010,1.3,100.8,170764
동구,2010,1.3,339.7,101514
동구,2010,1.3,339.7,337529
동구,2010,1.3,339.7,79663
동구,2010,1.3,339.7,104449
동구,2010,1.3,339.7,248835
동구,2010,1.3,339.7,170764
동구,2010,1.3,103.9,101514
동구,2010,1.3,103.9,337529
동구,2010,1.3,103.9,79663
동구,2010,1.3,103.9,104449
동구,2010,1.3,103.9,248835
동구,2010,1.3,103.9,170764
동구,2010,1.3,159.4,101514
동구,2010,1.3,159.4,337529
동구,2010,1.3,159.4,79663
동구,2010,1.3,159.4,104449
동구,2010,1.3,159.4,248835
동구,2010,1.3,159.4,170764
동구,2010,1.3,304.9,101514
동구,2010,1.3,304.9,337529
동구,2010,1.3,304.9,79663
동구,2010,1.3,304.9,104449
동구,2010,1.3,304.9,248835
동구,2010,1.3,304.9,170764
동구,2010,1.3,186.0,101514
동구,2010,1.3,186.0,337529
동구,2010,1.3,186.0,79663
동구,2010,1.3,186.0,104449
동구,2010,1.3,186.0,248835
동구,2010,1.3,186.0,170764
동구,2010,1.5,100.8,101514
동구,2010,1.5,100.8,337529
동구,2010,1.5,100.8,79663
동구,2010,1.5,100.8,104449
동구,2010,1.5,100.8,248835
동구,2010,1.5,100.8,170764
동구,2010,1.5,339.7,101514
동구,2010,1.5,339.7,337529
동구,2010,1.5,339.7,79663
동구,2010,1.5,339.7,104449
동구,2010,1.5,339.7,248835
동구,2010,1.5,339.7,170764
동구,2010,1.5,103.9,101514
동구,2010,1.5,103.9,337529
동구,2010,1.5,103.9,79663
동구,2010,1.5,103.9,104449
동구,2010,1.5,103.9,248835
동구,2010,1.5,103.9,170764
동구,2010,1.5,159.4,101514
동구,2010,1.5,159.4,337529
동구,2010,1.5,159.4,79663
동구,2010,1.5,159.4,104449
동구,2010,1.5,159.4,248835
동구,2010,1.5,159.4,170764
동구,2010,1.5,304.9,101514
동구,2010,1.5,304.9,337529
동구,2010,1.5,304.9,79663
동구,2010,1.5,304.9,104449
동구,2010,1.5,304.9,248835
동구,2010,1.5,304.9,170764
동구,2010,1.5,186.0,101514
동구,2010,1.5,186.0,337529
동구,2010,1.5,186.0,79663
동구,2010,1.5,186.0,104449
동구,2010,1.5,186.0,248835
동구,2010,1.5,186.0,170764
동구,2010,1.2,100.8,101514
동구,2010,1.2,100.8,337529
동구,2010,1.2,100.8,79663
동구,2010,1.2,100.8,104449
동구,2010,1.2,100.8,248835
동구,2010,1.2,100.8,170764
동구,2010,1.2,339.7,101514
동구,2010,1.2,339.7,337529
동구,2010,1.2,339.7,79663
동구,2010,1.2,339.7,104449
동구,2010,1.2,339.7,248835
동구,2010,1.2,339.7,170764
동구,2010,1.2,103.9,101514
동구,2010,1.2,103.9,337529
동구,2010,1.2,103.9,79663
동구,2010,1.2,103.9,104449
동구,2010,1.2,103.9,248835
동구,2010,1.2,103.9,170764
동구,2010,1.2,159.4,101514
동구,2010,1.2,159.4,337529
동구,2010,1.2,159.4,79663
동구,2010,1.2,159.4,104449
동구,2010,1.2,159.4,248835
동구,2010,1.2,159.4,170764
동구,2010,1.2,304.9,101514
동구,2010,1.2,304.9,337529
동구,2010,1.2,304.9,79663
동구,2010,1.2,304.9,104449
동구,2010,1.2,304.9,248835
동구,2010,1.2,304.9,170764
동구,2010,1.2,186.0,101514
동구,2010,1.2,186.0,337529
동구,2010,1.2,186.0,79663
동구,2010,1.2,186.0,104449
동구,2010,1.2,186.0,248835
동구,2010,1.2,186.0,170764
동구,2010,1.1,100.8,101514
동구,2010,1.1,100.8,337529
동구,2010,1.1,100.8,79663
동구,2010,1.1,100.8,104449
동구,2010,1.1,100.8,248835
동구,2010,1.1,100.8,170764
동구,2010,1.1,339.7,101514
동구,2010,1.1,339.7,337529
동구,2010,1.1,339.7,79663
동구,2010,1.1,339.7,104449
동구,2010,1.1,339.7,248835
동구,2010,1.1,339.7,170764
동구,2010,1.1,103.9,101514
동구,2010,1.1,103.9,337529
동구,2010,1.1,103.9,79663
동구,2010,1.1,103.9,104449
동구,2010,1.1,103.9,248835
동구,2010,1.1,103.9,170764
동구,2010,1.1,159.4,101514
동구,2010,1.1,159.4,337529
동구,2010,1.1,159.4,79663
동구,2010,1.1,159.4,104449
동구,2010,1.1,159.4,248835
동구,2010,1.1,159.4,170764
동구,2010,1.1,304.9,101514
동구,2010,1.1,304.9,337529
동구,2010,1.1,304.9,79663
동구,2010,1.1,304.9,104449
동구,2010,1.1,304.9,248835
동구,2010,1.1,304.9,170764
동구,2010,1.1,186.0,101514
동구,2010,1.1,186.0,337529
동구,2010,1.1,186.0,79663
동구,2010,1.1,186.0,104449
동구,2010,1.1,186.0,248835
동구,2010,1.1,186.0,170764
영도구,2010,0.9,128.0,146798
부산진구,2010,1.0,378.7,395826
동래구,2010,0.8,236.9,282779
남구,2010,0.8,235.3,298458
남구,2010,0.8,235.3,171197
남구,2010,0.8,235.3,423876
남구,2010,0.8,235.3,216863
남구,2010,0.8,235.3,344131
남구,2010,0.8,251.6,298458
남구,2010,0.8,251.6,171197
