행정구역별(1),행정구역별(2),year,주민1인당 생활폐기물배출량,생활폐기물발생량,주민등록인구
강원도,양구군,2010,1.7,36.8,21843
강원도,인제군,2010,1.9,59.1,31842
강원도,고성군,2010,1.9,56.5,30112
강원도,양양군,2010,1.4,39.8,27929
충청북도,충북 청주시,2010,1.3,823.5,655971
충청북도,충주시,2010,1.1,227.3,208481
충청북도,제천시,2010,1.1,148.9,137264
충청북도,청주시,2010,-,-,-
충청북도,충북 청원군,2010,1.1,168,152944
충청북도,보은군,2010,1.3,46.4,34956
충청북도,옥천군,2010,0.9,46.8,54025
충청북도,영동군,2010,0.7,37.2,50523
충청북도,진천군,2010,1,63.9,62094
충청북도,괴산군,2010,0.9,33.8,36827
충청북도,음성군,2010,1,94.9,91093
충청북도,단양군,2010,1.4,45.1,31817
충청북도,증평군,2010,1.2,39,33533
충청남도,천안시,2010,1.7,954.6,557673
충청남도,공주시,2010,1.1,135.1,124930
충청남도,보령시,2010,1,102.1,107346
충청남도,아산시,2010,1.1,299.6,265191
충청남도,서산시,2010,1.2,193.6,160468
충청남도,논산시,2010,1.3,169.7,127507
충청남도,계룡시,2010,0.8,35.1,43088
충청남도,당진시,2010,-,-,-
충청남도,금산군,2010,0.7,41.9,56555
충청남도,충남 연기군,2010,0.6,52.7,81871
충청남도,부여군,2010,0.8,61.3,75029
충청남도,서천군,2010,0.6,36.5,60085
충청남도,청양군,2010,0.9,29.8,32541
충청남도,홍성군,2010,0.7,59.6,88078
충청남도,예산군,2010,0.8,69.7,87002
충청남도,태안군,2010,1.2,77.5,63247
충청남도,충남 당진군,2010,1,142.5,144903
전라북도,전주시,2010,0.9,594.8,641525
전라북도,군산시,2010,0.9,245.6,272601
전라북도,익산시,2010,0.8,257.2,307289
전라북도,정읍시,2010,0.6,77,122000
전라북도,남원시,2010,1.2,101.4,87775
전라북도,김제시,2010,0.6,61,94346
전라북도,완주군,2010,0.5,46.7,85119
전라북도,진안군,2010,0.8,22.6,27543
전라북도,무주군,2010,0.9,23.4,25578
전라북도,장수군,2010,1.1,25.5,23386
전라북도,임실군,2010,0.7,20.5,30593
전라북도,순창군,2010,0.7,22.4,30209
전라북도,고창군,2010,0.8,45.7,60861
전라북도,부안군,2010,0.8,48.8,60138
전라남도,목포시,2010,1.2,292.3,245422
전라남도,여수시,2010,1.2,359.2,293488
전라남도,순천시,2010,1,274.1,272620
전라남도,나주시,2010,1,93.1,90118
전라남도,광양시,2010,0.9,131,145512
전라남도,담양군,2010,1,49.5,47808
전라남도,곡성군,2010,0.6,17.7,31886
전라남도,구례군,2010,0.9,23.9,27375
전라남도,고흥군,2010,0.8,61,73924
전라남도,보성군,2010,0.7,35.1,48792
전라남도,화순군,2010,0.7,46.9,69368
전라남도,장흥군,2010,0.9,39.2,42394
전라남도,강진군,2010,0.6,26.5,41624
전라남도,해남군,2010,0.6,48.5,79579
전라남도,영암군,2010,0.7,39.7,60082
전라남도,무안군,2010,0.6,48.3,74475
전라남도,함평군,2010,0.5,17.8,36702
전라남도,영광군,2010,0.9,48.9,57362
전라남도,장성군,2010,0.5,23.7,46514
전라남도,완도군,2010,1,53.8,54269
전라남도,진도군,2010,1.1,38.5,33743
전라남도,신안군,2010,0.9,41.8,45428
경상북도,포항시,2010,1.1,586.3,514755
경상북도,경주시,2010,1,272.9,267098
경상북도,김천시,2010,1.5,208.7,136136
경상북도,안동시,2010,1.2,208.9,167886
경상북도,구미시,2010,0.6,255.2,404920
경상북도,영주시,2010,1.5,170.2,113926
경상북도,영천시,2010,0.9,88.4,103190
경상북도,상주시,2010,0.9,94.1,105607
경상북도,문경시,2010,1.6,123.1,77391
경상북도,경산시,2010,0.8,202.6,240708
경상북도,군위군,2010,0.9,22.9,24736
경상북도,의성군,2010,0.6,38.2,58832
경상북도,청송군,2010,1,26,26715
경상북도,영양군,2010,0.8,14.3,18451
경상북도,영덕군,2010,0.9,38.3,41377
경상북도,청도군,2010,0.4,16.3,44391
경상북도,고령군,2010,0.6,20.4,34678
경상북도,성주군,2010,0.6,25.7,45289
경상북도,칠곡군,2010,1,113.4,119087
경상북도,예천군,2010,1,46.1,47049
경상북도,봉화군,2010,1.1,38.5,34567
경상북도,울진군,2010,1,53.5,52430
경상북도,울릉군,2010,1.4,15.1,10701
경상남도,진주시,2010,1.1,376.7,335037
경상남도,통영시,2010,1.4,192.9,140297
경상남도,사천시,2010,1.1,123.5,114148
경상남도,김해시,2010,0.9,453.9,503348
경상남도,밀양시,2010,0.8,92.5,110479
경상남도,거제시,2010,1.3,286.9,228355
경상남도,양산시,2010,0.7,183.1,260239
경상남도,창원시,2010,1.1,1199.6,1090181
경상남도,의령군,2010,0.7,21.5,30162
