행정구역별(1),행정구역별(2),year,일반폐기물재활용률,총재활용량,생활폐기물총발생량
충청북도,보은군,2010,53.4,24.8,46.4
충청북도,옥천군,2010,30.6,14.3,46.8
충청북도,영동군,2010,46.0,17.1,37.2
충청북도,진천군,2010,39.7,25.4,63.9
충청북도,괴산군,2010,45.3,15.3,33.8
충청북도,음성군,2010,53.3,50.6,94.9
충청북도,단양군,2010,53.4,24.1,45.1
충청북도,증평군,2010,57.9,22.6,39.0
충청남도,천안시,2010,75.4,720.1,954.6
충청남도,공주시,2010,60.3,81.5,135.1
충청남도,보령시,2010,46.8,47.8,102.1
충청남도,아산시,2010,62.1,186.1,299.6
충청남도,서산시,2010,57.0,110.4,193.6
충청남도,논산시,2010,59.8,101.4,169.7
충청남도,계룡시,2010,56.4,19.8,35.1
충청남도,당진시,2010,-,-,-
충청남도,금산군,2010,26.7,11.2,41.9
충청남도,충남 연기군,2010,26.2,13.8,52.7
충청남도,부여군,2010,68.4,41.9,61.3
충청남도,서천군,2010,31.2,11.4,36.5
충청남도,청양군,2010,30.9,9.2,29.8
충청남도,홍성군,2010,35.7,21.3,59.6
충청남도,예산군,2010,47.6,33.2,69.7
충청남도,태안군,2010,57.0,44.2,77.5
충청남도,충남 당진군,2010,52.4,74.7,142.5
전라북도,전주시,2010,77.5,461.2,594.8
전라북도,군산시,2010,51.5,126.4,245.6
전라북도,익산시,2010,64.9,166.8,257.2
전라북도,정읍시,2010,48.1,37.0,77.0
전라북도,남원시,2010,56.7,57.5,101.4
전라북도,김제시,2010,63.9,39.0,61.0
전라북도,완주군,2010,61.9,28.9,46.7
전라북도,진안군,2010,24.8,5.6,22.6
전라북도,무주군,2010,42.3,9.9,23.4
전라북도,장수군,2010,48.6,12.4,25.5
전라북도,임실군,2010,37.1,7.6,20.5
전라북도,순창군,2010,43.8,9.8,22.4
전라북도,고창군,2010,66.7,30.5,45.7
전라북도,부안군,2010,67.2,32.8,48.8
전라남도,목포시,2010,28.1,82.0,292.3
전라남도,여수시,2010,27.4,98.4,359.2
전라남도,순천시,2010,28.9,79.3,274.1
전라남도,나주시,2010,66.8,62.2,93.1
전라남도,광양시,2010,41.3,54.1,131.0
전라남도,담양군,2010,20.0,9.9,49.5
전라남도,곡성군,2010,69.5,12.3,17.7
전라남도,구례군,2010,33.9,8.1,23.9
전라남도,고흥군,2010,42.1,25.7,61.0
전라남도,보성군,2010,59.8,21.0,35.1
전라남도,화순군,2010,55.0,25.8,46.9
전라남도,장흥군,2010,47.7,18.7,39.2
전라남도,강진군,2010,59.2,15.7,26.5
전라남도,해남군,2010,63.5,30.8,48.5
