,시도,시설 수,일별 시설용량(톤),1일평균가동시간,처리량 (톤),설치비 (국비),설치비 (지방비),설치비 (기타),연간유지관리비,관리인원,외부공급(열),외부공급(전력),자체사용(열),자체사용(전력),연도
74,부산광역시,2,510,24,153269,20542,59729,9269,14941,66,216729,0,123244,8443,2014
75,대구광역시,1,480,24,135534,8201,55897,7920,8469,51,173837,2054,69931,37910,2014
76,인천광역시,11,1797,12,528056,147282,281358,670,31819,158,411305,111073,587710,74170,2014
77,광주광역시,1,320,24,88122,0,74300,0,5030,47,20852,0,31688,108887,2014
78,대전광역시,1,400,24,101300,21555,49058,0,6766,41,162756,0,65856,0,2014
79,울산광역시,2,650,22,189552,44822,43262,46359,12054,66,204818,0,95110,31200,2014
80,세종특별자치시,1,45,24,13217,21814,4460,0,2148,17,0,0,2233,20094,2014
81,경기도,26,5114,24,1215225,185096,683964,604104,133188,973,1447971,42906,866006,191336,2014
82,강원도,16,582,21,159762,55465,111453,5950,20149,243,2791,28775,88284,92100,2014
83,충청북도,10,499,20,149270,52950,122559,3958,19479,170,97170,6938,159871,19803,2014
84,충청남도,9,660,23,206572,39594,135214,22419,29047,232,194259,0,97751,0,2014
85,전라북도,2,600,22,148723,19662,652,46076,9974,96,29365,270258,39636,115080,2014
86,전라남도,53,496,11,118934,54951,91044,17014,20020,320,51150,0,188710,8093,2014
87,경상북도,20,739,19,207659,78095,100950,63317,24481,274,19614,128889,67893,31896,2014
88,경상남도,18,1601,23,396982,65010,211674,70240,54794,489,246775,110395,304909,184603,2014
89,제주특별자치도,7,278,10,68319,27309,42848,0,10959,97,0,0,46197,87952,2014
91,서울특별시,5,2898,24,763049,0,373721,27689,59064,316,1245593,18463,329980,22386,2015
92,부산광역시,2,510,24,155897,20542,59729,9269,14249,66,210969,0,129919,9755,2015
93,대구광역시,1,480,24,132119,8201,55897,7920,8823,51,162965,630,47542,33171,2015
94,인천광역시,9,877,11,268355,76336,142959,670,16410,89,265615,86355,199797,59757,2015
