"시도(1)",2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"울산",1,400,24,108058,61552,18290,43262,0,8000,49,228895,86520,86520,0,142375,49502,92873,1,400,24,105707,61552,18290,43262,0,8307,49,193483,92227,92227,0,101257,49061,52196,2,650,24,122733,133500,45186,43262,45052,8685,56,197617,114241,114241,0,83376,73252,10124,2,650,24,122733,133500,45186,43262,45052,8685,56,269046,186180,186180,0,82866,82555,311,2,650,22,189552,134443,44822,43262,46359,12054,66,331130,204818,204818,0,126310,95110,31200,2,650,21,187149,134443,44822,43262,46359,9818,66,324685,179411,179411,0,145274,108473,36801,2,650,21,184790,134443,44822,43262,46359,8918,66,331001,191874,191874,0,139127,106110,33017,1,650,21,177998,134443,44822,43262,46359,10387,66,338796,177384,177384,0,161412,143739,17673,1,650,24,179823,40796,0,0,40796,134443,44822,43262,46359,7678,66,375495,182429,182429,0,195066,186515,8551,1,950,24,276165,44197,4994,0,39203,0,164604,54074,49230,61300,11625,90,386717,181510,181510,0,205205,118205,87000
"세종",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,45,24,13506,31350,6260,25090,0,1529,16,20763,0,0,0,20763,20763,0,1,45,24,14514,31350,6260,25090,0,1874,16,20763,0,0,0,20763,20763,0,1,45,24,13217,26274,21814,4460,0,2148,17,22327,0,0,0,22327,2233,20094,1,45,24,12358,31350,6260,25090,0,2400,20,19483,1655,1655,0,17828,293,17535,1,45,24,12124,31350,6260,25090,0,2754,20,21288,1822,1822,0,19466,307,19159,1,45,24,12602,31350,6260,25090,0,2290,21,22616,0,0,0,21616,21616,0,1,45,24,12986,2256,0,0,2256,31350,6260,25090,0,2916,21,23604,0,0,0,23604,23604,0,1,45,24,12468,2827,0,0,2827,0,31350,6260,25090,0,2468,22,23177,0,0,0,23177,23177,0
"경기",23,5215,22,1096629,1247841,173614,708879,365348,98902,769,2508686,1288376,1247509,40867,1082759,830727,252032,23,5005,22,1096617,1280513,171769,699591,409153,105358,802,2456405,1281707,1227281,54426,1040399,792537,247862,24,5130,23,1138641,1332275,175251,702171,454853,109294,909,2553685,1367644,1325710,41935,1062771,795999,266772,24,5014,24,1126413,1380081,185096,697128,497858,119845,988,2464371,1407497,1369153,38344,996380,798459,197921,26,5114,24,1215225,1473164,185096,683964,604104,133188,973,2616611,1490877,1447971,42906,1057341,866006,191336,26,5164,24,1299861,1469229,193974,694694,580561,139006,1057,2820796,1538183,1492203,45980,1282036,988716,293320,27,5304,24,1349194,1499866,193714,759593,546559,155894,1078,2932011,1613696,1580360,33337,1229213,1025554,203659,26,5084,24,1325004,1425911,238708,712024,475179,158909,1077,3048257,1710596,1676604,33992,1406293,1089036,317257,26,5084,24,1297414,185513,72949,21332,91232,1422867,237262,686837,498768,168791,1075,2898305,1656171,1607230,48941,1365294,1077655,287639,27,5290,23,1303190,195516,93310,0,102206,0,1493943,250761,703717,539465,192531,1157,3257606,1887547,1857502,30045,3249545,1098394,2151151
"강원",13,264,19,51655,62872,17619,39303,5950,9918,142,19134,186,186,0,7970,7773,197,14,355,19,77536,87227,24603,56674,5950,13688,169,71054,1089,1089,0,61737,48270,13467,16,576,20,150333,109060,35862,67248,5950,20030,225,106098,2884,2853,31,95077,69716,25361,16,582,21,157409,174202,55465,112787,5950,21048,249,207788,25932,2792,23140,175367,96487,78880,16,582,21,159762,172868,55465,111453,5950,20149,243,215331,31566,2791,28775,180384,88284,92100,15,570,22,162556,173012,54982,79880,38150,21584,237,252117,61481,19371,42110,147389,59661,87728,15,578,23,160249,174089,54982,78273,40834,20922,234,171502,35119,0,35119,136383,39359,97024,15,576,23,153847,173012,54982,78273,39757,20988,239,185580,35387,0,35387,141375,47151,94224,15,577,23,147062,30491,0,0,30491,173012,54982,78273,39757,23018,225,178709,118205,0,118205,81318,17032,64286,15,606,23,162649,28495,3467,0,24850,178,191727,60357,122721,8649,27340,262,247710,30038,4477,25561,110271,68127,42144
"충북",10,471,18,109358,163883,45845,118038,0,12013,134,191955,94855,89907,4948,87751,82552,5199,9,465,19,108830,163172,48914,111700,2558,14191,136,239443,92679,87013,5666,145353,93243,52110,10,499,19,136353,179185,52950,122277,3958,16684,167,283920,101377,95430,5947,182543,173038,9505,10,499,20,154858,179185,52950,122277,3958,16810,169,264361,104065,97170,6895,160296,149750,10546,10,499,20,149270,179467,52950,122559,3958,19479,170,283782,104108,97170,6938,179674,159871,19803,10,709,20,182299,236680,80480,153142,3058,16138,196,559709,106922,101494,5428,452787,157900,294887,10,709,20,216085,236680,80480,153142,3058,20242,195,417023,158091,152046,6045,258931,233855,25076,10,709,21,216200,236890,80480,153352,3058,26881,251,461918,178824,178815,9,275512,241153,34359,11,709,21,213730,40416,70,0,40346,236890,80480,153352,3058,23279,209,459793,185454,180303,5151,253956,219699,34257,10,741,22,219889,43804,0,0,41960,1844,251799,88530,162769,500,25751,227,484037,201427,197376,4051,246905,225192,21713
"충남",12,566,22,158028,141947,34521,79507,27919,22654,199,243671,104213,104213,0,81672,81672,0,13,766,22,185556,239023,47554,163550,27919,28462,243,223420,113643,113643,0,86175,86175,0,10,685,23,194865,205127,40794,136414,27919,28506,244,334565,185015,185015,0,125939,125939,0,9,660,23,202038,197227,39594,135214,22419,27027,231,314812,187711,187711,0,103492,103492,0,9,660,23,206572,197227,39594,135214,22419,29047,232,317978,194259,194259,0,97751,97751,0,11,885,24,244524,235812,56458,102502,76852,26221,227,440774,263250,263250,0,158947,158947,0,11,1081,24,325939,248059,58828,113313,75918,27002,231,567878,296867,296867,0,240780,240780,0,10,1081,24,323025,248059,58828,113313,75918,29266,220,555500,311608,311608,0,176556,176556,0,10,1081,24,319475,49660,27,0,49633,248059,58828,113313,75918,29092,225,509998,292118,292118,0,198579,198579,0,11,1111,24,317772,55853,4,0,54620,1229,261086,62395,122195,76496,53269,258,557202,291843,272962,18881,260622,249330,11292
"전북",2,600,24,150255,177679,58256,73447,45976,6056,89,415324,113641,45487,68154,157869,76115,81754,2,600,24,152561,177679,58256,73447,45976,7200,93,410219,248535,15103,233432,161684,55018,106666,2,600,21,149453,76668,23172,6520,46976,10280,94,465071,315262,29955,285307,149809,39124,110685,2,600,21,158420,66390,19662,652,46076,8774,94,421902,268403,32206,236197,153499,39162,114337,2,600,22,148723,66390,19662,652,46076,9974,96,454339,299623,29365,270258,154716,39636,115080,2,600,24,146731,66390,19662,652,46076,11424,93,286586,116330,82959,33371,170256,113860,56396,2,600,24,142662,66390,19662,652,46076,12544,96,524530,260731,237302,23429,263799,213475,50324,3,601,24,145575,101972,23311,18403,60258,13431,102,569464,321688,217041,104647,111570,111570,0,3,612,24,166028,32475,0,0,32475,101972,23311,18403,60258,13531,100,424274,131526,131526,0,137922,137922,0,3,612,24,141304,28835,0,0,28835,0,101972,23311,18403,60258,14863,102,398656,175417,141275,34142,203329,152346,50983
"전남",47,518,12,86134,127922,38478,72931,16514,15944,258,388480,515,515,0,257656,257089,567,49,497,11,106931,158060,51703,90744,15614,16812,300,424010,44291,44291,0,254681,254053,628,51,500,11,106922,159724,53367,90744,15614,17199,321,341046,44196,44196,0,181850,181222,628,51,495,11,94479,152524,51417,86194,14914,17870,304,346096,47788,47788,0,183308,182272,1036,53,496,11,118934,163008,54951,91044,17014,20020,320,358395,51150,51150,0,196803,188710,8093,56,501,11,119037,168889,59886,91990,17014,22274,347,108173,51216,51216,0,56957,47490,9467,56,502,11,118575,169566,60404,92149,17014,23467,340,107566,45132,45132,0,62434,54261,8173,54,502,11,119192,169567,60404,92149,17014,24905,352,104696,39146,39146,0,65550,65210,340,53,500,11,120839,17459,58,0,17401,166749,59218,82520,25011,23560,347,119583,41003,41003,0,69537,69274,263,53,503,11,129952,14149,0,0,13516,633,175210,57371,92828,25011,26437,358,136502,44184,44184,0,72047,63095,8952
"경북",23,380,16,87872,88669,26849,37403,24417,14694,188,65649,0,0,0,33578,23587,9991,23,565,18,151313,170033,48011,97605,24417,21580,235,-,4606,0,4606,38410,23301,15109,24,765,18,171634,230962,75586,98735,56641,20711,281,159345,46909,11,46898,127230,59264,67966,22,739,19,175673,239406,76996,99093,63317,24143,262,355021,182384,1931,180453,131593,67636,63957,20,739,19,207659,242362,78095,100950,63317,24481,274,270922,148503,19614,128889,99789,67893,31896,20,837,20,229955,293337,94310,100772,98255,24407,329,209996,90452,19636,70816,90398,33735,56663,18,837,21,240669,298697,94455,109353,94889,29569,317,163780,79597,20262,59335,71632,29772,41861,18,830,21,240356,295035,93626,106520,94889,30558,322,434160,69391,21416,47975,344120,115038,229082,18,830,21,251101,55938,0,0,55938,285559,90454,104216,90889,36342,301,438675,125979,20107,105872,300006,111752,188254,18,1215,22,230654,48794,207,0,48584,3,466700,157040,134840,174820,42191,345,416141,153521,18823,134698,271796,119924,151872
"경남",18,1417,20,331670,316885,52038,204524,60323,65702,320,757091,280696,201743,78953,412328,293469,118859,19,1427,21,333820,326615,54957,211335,60323,43968,410,727511,317399,254460,62939,315270,249625,65645,17,1582,23,388304,419345,84822,264283,70240,47713,447,1340533,862514,789524,72990,700559,576744,123815,18,1587,22,362828,338870,61656,206974,70240,49918,439,780807,336300,139363,196937,423655,253854,169801,18,1601,23,396982,346924,65010,211674,70240,54794,489,856465,357170,246775,110395,489512,304909,184603,17,1594,24,425024,342526,69583,206308,66635,45674,468,868240,350325,236903,113422,495710,283615,212095,18,1594,24,431306,446890,106318,273937,66635,55223,467,879002,371826,257718,114109,464817,260062,204755,17,1554,24,429153,446889,106318,273936,66635,55510,468,896260,380459,266136,114323,411988,220164,191824,17,1554,24,439041,82022,5964,946,75112,447653,106318,274700,66635,62173,469,889707,394333,301754,92579,445254,263269,181985,17,1554,24,443735,74726,6283,0,67986,457,521553,180118,274800,66635,64751,479,900446,405286,268391,136895,340129,233637,106492
"제주",7,275,10,66307,69257,26859,42398,0,8968,97,133276,399,399,0,110196,50680,59516,6,275,10,69970,68857,26659,42198,0,9449,97,142573,1029,1029,0,114597,55101,59496,7,279,10,70074,70157,27309,42848,0,9476,99,105869,1753,1753,0,98369,36747,61622,7,277,10,63009,70157,27309,42848,0,9431,98,96051,0,0,0,0,0,0,7,278,10,68319,70157,27309,42848,0,10959,97,134149,0,0,0,134149,46197,87952,7,278,10,69765,70157,27309,42848,0,11659,103,129860,233,233,0,129627,38084,91543,5,276,13,20130,69380,26845,42535,0,14851,101,84868,3602,3600,2,79850,16949,62901,5,276,14,65942,69380,26845,42535,0,19958,108,83884,441,426,15,114843,31942,82901,5,276,14,67025,7899,0,0,7899,69380,26845,42535,0,16762,112,123006,788,776,12,112760,26383,86377,6,776,15,89891,14645,0,0,14645,0,213472,97929,115543,0,27028,167,183500,52483,649,51834,128419,47080,81339
