"행정구역별(1)",행정구역별(2),2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019
"행정구역별(1)",행정구역별(2),일반폐기물재활용률<br>(A÷B×100) (%),총재활용량<br>(A) (톤/일),생활폐기물 총발생량<br>(B) (톤/일),일반폐기물재활용률<br>(A÷B×100) (%),총재활용량<br>(A) (톤/일),생활폐기물 총발생량<br>(B) (톤/일),일반폐기물재활용률<br>(A÷B×100) (%),총재활용량<br>(A) (톤/일),생활폐기물 총발생량<br>(B) (톤/일),일반폐기물재활용률<br>(A÷B×100) (%),총재활용량<br>(A) (톤/일),생활폐기물 총발생량<br>(B) (톤/일),일반폐기물재활용률<br>(A÷B×100) (%),총재활용량<br>(A) (톤/일),생활폐기물 총발생량<br>(B) (톤/일),일반폐기물재활용률<br>(A÷B×100) (%),총재활용량<br>(A) (톤/일),생활폐기물 총발생량<br>(B) (톤/일),일반폐기물재활용률<br>(A÷B×100) (%),총재활용량<br>(A) (톤/일),생활폐기물 총발생량<br>(B) (톤/일),일반폐기물재활용률<br>(A÷B×100) (%),총재활용량<br>(A) (톤/일),생활폐기물 총발생량<br>(B) (톤/일),일반폐기물재활용률<br>(A÷B×100) (%),총재활용량<br>(A) (톤/일),생활폐기물 총발생량<br>(B) (톤/일),일반폐기물재활용률<br>(A÷B×100) (%),총재활용량<br>(A) (톤/일),생활폐기물 총발생량<br>(B) (톤/일)
"서울특별시",마포구,54.8,166.1,303.1,56.7,175.5,309.6,55.5,155.3,279.6,55.9,160.3,287.0,72.2,330.6,458.1,71.8,331.4,461.6,70.4,321.4,456.6,69.7,305.2,437.7,66.9,293.9,439.5,59.9,285.9,477.5
"서울특별시",양천구,79.6,220.8,277.4,71.5,184.1,257.4,63.1,173.2,274.5,64.9,179.1,276.1,66.3,230.7,347.9,69.0,222.5,322.5,65.1,187.4,287.9,65.7,194.2,295.4,67.2,200.0,297.7,65.0,221.5,340.8
"서울특별시",강서구,67.0,450.0,671.4,73.5,316.1,429.8,71.7,286.1,399.1,65.6,242.7,370.2,69.9,305.4,436.8,70.6,306.7,434.2,68.4,290.8,425.3,71.0,329.4,463.7,70.1,336.4,480.0,74.4,446.2,599.4
"서울특별시",구로구,55.2,170.1,308.1,50.2,139.0,276.7,53.3,152.4,285.7,50.2,139.7,278.5,58.0,186.9,322.5,56.1,176.4,314.7,55.7,177.2,318.2,56.1,174.5,310.8,54.1,172.8,319.4,52.4,171.0,326.5
"서울특별시",금천구,69.4,136.5,196.7,57.9,128.1,221.2,61.4,137.2,223.5,54.9,99.0,180.2,66.4,166.5,250.6,71.4,171.5,240.1,71.0,170.0,239.6,70.3,170.0,241.8,70.4,175.2,248.8,69.1,198.0,286.7
"서울특별시",영등포구,78.0,422.1,541.1,62.1,227.3,366.0,61.1,246.5,403.2,53.5,163.7,305.8,55.1,196.2,356.1,63.9,249.0,389.9,70.7,287.7,406.8,67.6,230.2,340.7,64.6,216.6,335.3,63.8,266.4,417.3
"서울특별시",동작구,63.9,206.3,323.1,62.2,203.7,327.7,71.3,240.8,337.7,69.3,226.9,327.5,70.3,238.9,339.8,70.5,210.0,297.9,67.2,188.4,280.5,66.3,178.3,269.0,68.9,200.1,290.6,71.3,224.9,315.4
"서울특별시",관악구,47.9,163.0,340.0,49.0,157.4,321.0,59.0,187.5,317.6,57.0,179.9,315.5,61.6,218.2,354.3,62.1,209.7,337.9,62.7,212.9,339.7,64.0,231.4,361.8,72.3,315.9,436.8,72.0,313.2,434.7
"서울특별시",서초구,66.7,393.0,589.1,67.7,398.0,588.0,69.2,400.2,578.1,70.7,390.5,552.3,69.5,379.5,546.3,71.5,402.3,562.3,69.5,396.1,570.1,70.9,405.1,571.7,69.4,391.3,563.7,58.8,293.2,498.3
"서울특별시",강남구,63.8,632.2,990.5,64.9,660.5,1017.3,69.0,679.8,984.9,67.0,499.5,745.2,68.8,556.2,808.2,66.0,470.5,713.2,67.1,474.7,707.2,67.0,474.8,708.3,65.8,445.5,677.1,58.9,348.2,591.2
