"행정구역별",2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019
"행정구역별",주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명)
"강서구",1.2,671.4,574127,0.8,429.8,569072,0.7,399.1,567431,0.7,370.2,569070,0.7,436.8,585160,0.7,434.2,589074,0.7,425.3,595485,0.8,463.7,601691,0.8,480.0,596949,1.0,599.4,591796
"구로구",0.7,308.1,423736,0.6,276.7,427468,0.7,285.7,427520,0.7,278.5,424964,0.8,322.5,425831,0.7,314.7,422092,0.8,318.2,417551,0.8,310.8,410742,0.8,319.4,404497,0.8,326.5,406664
"금천구",0.8,196.7,245195,0.9,221.2,243438,0.9,223.5,243288,0.7,180.2,241020,1.1,250.6,238463,1.0,240.1,236284,1.0,239.6,235386,1.0,241.8,235154,1.1,248.8,233917,1.2,286.7,232810
"영등포구",1.3,541.1,406833,0.9,366.0,397443,1.0,403.2,391408,0.8,305.8,386471,0.9,356.1,382352,1.0,389.9,378504,1.1,406.8,370613,0.9,340.7,368550,0.9,335.3,367778,1.1,417.3,367678
"동작구",0.8,323.1,402709,0.8,327.7,401408,0.8,337.7,405491,0.8,327.5,410815,0.8,339.8,407470,0.7,297.9,400641,0.7,280.5,400997,0.7,269.0,396217,0.7,290.6,396203,0.8,315.4,395963
"관악구",0.6,340.0,531434,0.6,321.0,526397,0.6,317.6,523029,0.6,315.5,518028,0.7,354.3,513186,0.7,337.9,509663,0.7,339.7,506851,0.7,361.8,503297,0.9,436.8,501957,0.9,434.7,500094
"서초구",1.4,589.1,434720,1.4,588.0,433564,1.3,578.1,435044,1.3,552.3,441763,1.2,546.3,449678,1.3,562.3,446764,1.3,570.1,447192,1.3,571.7,441102,1.3,563.7,433951,1.2,498.3,430826
"강남구",1.7,990.5,570095,1.8,1017.3,565710,1.7,984.9,564197,1.3,745.2,563599,1.4,808.2,578114,1.2,713.2,576495,1.2,707.2,567115,1.3,708.3,556164,1.2,677.1,542364,1.1,591.2,545169
"송파구",1.1,733.3,685279,1.1,751.5,682209,1.0,644.2,673115,0.9,599.8,668415,0.8,555.5,664738,0.9,575.7,660302,0.9,569.7,657831,0.8,550.3,664496,0.9,611.8,666635,1.2,808.2,675961
"강동구",0.5,258.5,491871,0.5,262.7,495138,0.5,258.6,487905,0.5,246.4,483379,0.8,392.6,476597,0.9,412.4,458658,1.1,500.2,444168,0.9,375.0,436223,0.9,370.1,427573,1.0,419.9,436067
"부산광역시",0.9,3221.9,3567910,0.9,3189.7,3550963,0.9,3189.0,3538484,0.9,3173.8,3527635,1.0,3397.8,3519401,1.0,3366.4,3513777,1.0,3352.2,3498529,1.0,3343.2,3470653,1.0,3337.2,3441453,1.0,3326.0,3413841
"중구",1.6,79.0,49442,1.7,80.9,48686,1.7,81.3,48148,1.7,79.7,47345,2.0,95.1,46737,1.9,88.7,45816,1.9,88.0,45208,1.9,85.0,44218,1.9,81.5,42795,1.9,81.3,41910
"서구",1.0,120.9,126040,1.0,120.5,123718,1.0,117.8,120828,1.0,117.4,118783,1.0,121.7,118115,1.1,122.1,115963,1.1,121.2,112973,1.1,117.4,110039,1.1,118.3,110534,1.1,116.3,108229
"동구",1.0,100.8,101514,1.0,98.1,100420,1.0,94.3,98529,1.0,94.7,96011,1.1,100.7,94565,1.1,99.9,92069,1.1,97.9,89826,1.1,94.0,88868,1.1,95.2,86912,1.1,92.9,88165
"영도구",0.9,128.0,146798,0.9,123.2,143205,0.9,120.1,139765,0.9,117.8,135816,1.0,129.0,132102,1.0,124.6,129385,1.0,126.3,126362,1.0,120.5,123521,1.0,121.1,120109,1.0,118.5,116711
"부산진구",1.0,378.7,395826,0.9,372.6,395044,1.0,373.7,392731,0.9,366.5,389765,1.0,381.1,387378,1.0,377.4,381572,1.0,371.3,376526,1.0,365.9,371703,1.0,364.0,362357,1.0,363.1,357880
"동래구",0.8,236.9,282779,0.8,235.9,283742,0.8,234.2,278767,0.8,227.9,276689,0.9,241.2,275971,0.9,240.8,272837,0.9,242.0,272745,0.9,235.2,270727,0.9,235.7,266515,0.8,228.6,271247
"남구",0.8,235.3,298458,0.8,229.0,295121,0.8,223.5,291175,0.8,219.4,291770,0.8,228.0,286989,0.8,238.2,283101,0.8,231.6,278779,0.8,223.7,273854,0.8,230.1,279917,0.9,234.9,274480
