"행정구역별","폐기물별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"중구","지정폐기물","재활용[톤/일]","톤/일","-","-","-","-","-","0",".1","15.6",".1",".2",
"중구","전년도이월량","발생량[톤/일]","톤/일","-","9.1","1.2","-","-","0","0",".1","0","0",
"중구","당해년도발생량","발생량[톤/일]","톤/일","1","1382.9","1642.3",".9",".9","1",".9","397.4","1.9","7.6",
"동구","합계","재활용률[%]","%","86.3","63.9","31","81.7","81.7","85.2","88.1","73.1","92.4","95.3",
"동구","합계","발생량[톤/일]","톤/일","2114","1758.2","3649.4","1062.7","1062.7","1455.5","1694.5","7289.2","1119.1","1962.3",
"동구","합계","재활용[톤/일]","톤/일","1824","1123.8","1129.6","868","868","1240.4","1493.5","5331.6","1034","1870.5",
"동구","생활계폐기물","발생량[톤/일]","톤/일","331","339.7","340.7","352.6","352.6","360.1","341.5","353.9","349.2","413.4",
"동구","생활계폐기물","재활용[톤/일]","톤/일","98","180.6","181.2","170.8","170.8","167.2","163.6","222.8","278.6","338.5",
"동구","사업장배출시설계폐기물","발생량[톤/일]","톤/일","32","29.2","13.5","19.5","19.5","29.9","15.7","11.1","34","41.9",
"동구","사업장배출시설계폐기물","재활용[톤/일]","톤/일","30","28.5","9.7","13.9","13.9","25.7","10.2","9.7","31.9","40",
"동구","건설폐기물","발생량[톤/일]","톤/일","1747","937.6","947.7","681","681","1056.8","1326.7","1000.4","720.6","1487.7",
"동구","건설폐기물","재활용[톤/일]","톤/일","1694","914.7","938.7","676.3","676.3","1042.7","1313.9","988.7","712.8","1481.8",
"동구","지정폐기물","발생량[톤/일]","톤/일","4","451.7","2347.5","9.6","9.6","8.7","10.6","5923.8","15.3","19.3",
"동구","지정폐기물","재활용[톤/일]","톤/일","2","-","-","7","7","4.8","5.8","4110.4","10.7","10.2",
"동구","전년도이월량","발생량[톤/일]","톤/일","-",".2","7.2",".1",".1","0",".2","135.8",".1",".2",
"동구","당해년도발생량","발생량[톤/일]","톤/일","4","451.5","2340.3","9.5","9.5","8.7","10.4","5788","15.2","19.1",
"서구","합계","재활용률[%]","%","49.6","41.8","6.3","78.2","78.2","74.4","74.2","57.8","79.1","76.6",
"서구","합계","발생량[톤/일]","톤/일","1446","2877.7","16977.6","1642.2","1642.2","1637.4","1676.8","27058.3","1370.3","1393.4",
"서구","합계","재활용[톤/일]","톤/일","718","1202.4","1063.8","1284.8","1284.8","1218.6","1244.1","15636.5","1084.5","1067.7",
"서구","생활계폐기물","발생량[톤/일]","톤/일","258","246","246.6","253.3","253.3","260.5","276","285","295.2","301.2",
"서구","생활계폐기물","재활용[톤/일]","톤/일","99","145.2","144.6","135.6","135.6","119.1","150.5","175.5","208.8","196.8",
"서구","사업장배출시설계폐기물","발생량[톤/일]","톤/일","719","863.8","867.3","989.1","989.1","950.9","979","750.7","658.7","776.6",
