"세종",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5569,21635,8931,12704,5327,3835,3414,1500,1914,0,150,2,1,5569,21635,19238,2397,4980,3984,3414,1500,1914,0,150,2,2,27818,296294,21635,274659,5546,4546,8964,7000,1964,0,126,3,2,27818,296592,27616,268976,5414,5414,8964,1500,1964,5500,92,5,2,27818,296592,33191,263401,5575,5575,8964,1500,1964,5500,106,3,2,27818,296592,59033,237559,15754,9606,8964,1500,1964,5500,284,3,2,27818,296592,69964,226628,10931,6665,8964,1500,1964,5500,334,3,2,27818,296592,75082,221510,5118,2886,8964,1500,1964,5500,334,3
"경기",10,480959,7154446,3192622,3961824,104375,85669,158240,50877,90936,16427,3563,45,10,753098,8463371,3261350,5202021,174078,105597,196171,58203,95535,42433,4813,57,9,720198,8299574,3318519,4981055,145193,110926,195594,58203,94958,42433,4903,54,9,706198,8285336,3428117,4857219,109598,99512,177513,52837,60355,64321,7977,51,9,549698,8285336,3516004,4769332,132148,127901,177513,52837,60355,64321,4149,52,9,549698,8285336,3652420,4632916,115921,101934,177513,52837,60355,64321,4353,39,9,549698,8285336,3772772,4512564,111545,103408,172105,45716,88074,38315,4370,39,9,571473,8285336,3874846,4410490,129931,113435,172104,49551,84238,38315,815366,43,9,571473,8285336,4061142,4224194,160831,103614,172562,49551,84696,38315,4938,76,9,571443,8285336,4183076,4102260,100799,103853,172562,49551,84696,38315,5831,45
"강원",24,1112776,15189155,10609452,4579703,554714,470677,326437,95579,221237,9621,10986,147,24,1202476,16374043,11052459,5321584,529355,406458,348861,103258,235982,9621,11101,153,24,1202476,16374043,11314574,5059469,364470,366187,348861,103258,235982,9621,11893,160,24,1202476,16416722,11164241,5252481,421495,385974,348861,103258,235982,9621,11343,154,24,1188820,16580568,11470063,5110505,355559,349082,335113,96949,228543,9621,9979,150,24,1269640,18648556,11863917,6784639,380173,306250,386693,110113,236222,40358,14607,152,24,1269640,18648568,12375561,6273007,450574,354367,393515,117170,229537,46808,374472,188,24,1269628,18648568,12961104,5687464,604962,452316,372440,108677,225280,38483,27723,145,24,1326178,19551723,13437260,6114463,465457,360555,401931,118468,244980,38483,15048,145,24,1334272,18220523,13074226,5146297,358587,317501,415590,124150,260643,30797,18327,98
"충북",14,409754,5092844,3591165,1501679,166768,147092,125876,34576,91300,0,8126,75,12,402065,4936344,3301048,1635296,112443,99096,118513,34576,83937,0,6958,65,13,438719,5393650,3461827,1931823,132350,116054,143471,41344,102127,0,4818,62,13,438719,5393650,3570996,1822654,150309,128654,143471,41344,102127,0,4451,55,13,437719,5393650,3662593,1731057,145793,145471,144592,41343,103249,0,5062,48,13,437719,5393650,3815483,1578168,135956,149004,149092,41343,107749,0,3357,134,13,451960,5674709,3947312,1727397,128864,144793,189372,63034,108148,18190,3524,135,13,455285,5721099,4080474,1640625,142915,142272,189722,63034,108498,18190,3437,55,13,488435,6081889,4272006,1809883,191081,216194,201144,66381,116573,18190,8090,48,12,478517,6053389,4424760,1628629,186200,199842,200457,66381,115886,18190,4458,44
"충남",16,580825,6652540,3320533,3332007,323734,216460,167424,36630,130594,200,7537,60,16,567404,7051784,3495293,3556491,226805,570603,167170,37397,129573,200,8028,63,16,628462,7428629,3682667,3745962,224639,143789,192688,38833,153655,200,9141,63,16,628462,7429149,3899774,3529375,247626,158496,192688,38833,153655,200,7516,61,16,682202,7428629,4117838,3310791,222247,132029,192675,39267,153208,200,6390,64,16,682277,7526133,4088816,3437317,151584,114557,206671,47141,159330,200,78325,54,15,596480,7331385,4008242,3323143,101556,96698,204780,46574,158206,0,4049,57,15,628032,7670004,4128980,3541024,125104,101567,215380,49574,165806,0,4176,57,15,628032,7670004,4319078,3350926,186877,115149,215617,49574,166043,0,4617,68,15,628032,7798287,4460385,3337902,123126,107743,215617,50074,165543,0,6560,66
"전북",16,913552,8883534,5642078,3241456,261316,170058,206860,65553,110107,31200,4545,69,15,913552,8883534,5906011,2977523,263933,180384,206860,65543,110117,31200,3989,67,15,913552,8883534,6200828,2682706,303629,212270,206858,65554,80517,60787,4639,71,14,855068,8388934,6113916,2275018,311116,217570,207424,62124,115713,29587,4418,67,14,855068,8412934,6326755,2086179,231687,178953,207386,63624,114175,29587,3896,64,14,855068,8388934,6450475,1938459,271969,210337,208667,70023,108418,30226,3944,71,13,818063,8388934,6691130,1697804,263219,226222,208667,70023,108418,30226,3860,72,13,818063,8592899,7026275,1566624,254429,211412,209355,70023,109106,30226,3757,74,14,818063,8592899,7170873,1422026,249314,192331,209355,70023,109106,30226,3976,70,13,824184,8688939,7315125,1373814,212112,194865,196586,65490,130454,642,5178,80
"전남",55,1323056,16587158,8928703,7658455,364876,292056,270454,80990,173686,15778,214868,246,56,1425016,16624471,9453475,7170996,538382,466366,234072,75321,142973,15778,14550,240,58,1315626,16630388,9886173,6744215,394984,350391,242356,80505,141467,20384,13311,229,58,1618335,16630388,9957032,6673356,327997,307126,273657,89492,163781,20384,41796,210,60,1520622,17682650,10034278,7648372,459852,332697,328861,113013,179195,36653,21028,223,61,1463925,18817298,10596357,8220941,408427,295304,330337,117190,176494,36653,15709,238,62,1376203,18854288,10964697,7889591,444374,267715,336560,119717,179740,37103,15056,241,62,1347703,19486918,11310434,8176484,414824,306569,343934,122117,184714,37103,12729,266,62,1347583,19542635,11722264,7820371,411731,297502,359494,123877,193521,42096,14327,240,62,1393247,18924810,12319507,6605303,401217,263391,365631,126716,197889,41026,14624,241
"경북",43,859845,11316172,5907001,5409171,5409171,501544,263681,73138,189887,656,12672,154,40,1136694,15842007,6488609,9353398,585840,430509,451588,111404,253778,86406,20249,153,38,1017104,14426974,6436227,7990747,388694,267316,322673,85322,236151,1200,12335,151,38,1028558,14283396,6573126,7710270,336931,222445,323761,85322,236033,2406,10777,153,40,1073587,15913908,6740495,9173413,388021,290964,341155,97223,241526,2406,13118,150,38,1069779,15930938,7180581,8750357,420379,320066,342981,97106,243469,2406,13014,141,35,1083071,16104007,7556732,8547275,399707,298125,355548,101302,251840,2406,16224,141,35,1065049,15957782,7922513,8035269,409459,292295,353990,101654,249930,2406,10907,154,34,1049899,15918922,8274416,7644506,437189,281412,353190,101654,249130,2406,12635,165,33,1036089,15848095,8575382,7272713,353382,238994,348082,103427,244105,550,14819,182
"경남",28,2073117,24147958,11673435,12474523,438360,368751,364348,103672,231337,29339,15164,138,27,2048271,23858958,10773658,13085300,415753,335454,356913,99645,227929,29339,12082,119,28,2135840,23951093,11164874,12786219,377092,313349,332147,73306,257341,1500,11901,126,27,2025486,23505914,11088790,12417124,469728,364824,328970,71385,237235,20350,11255,129,27,2025486,23631908,11400789,12231119,444983,354483,328975,71385,243025,14565,9678,127,27,2025486,23631908,11824475,11807433,427047,351538,328975,71385,256090,1500,13284,128,27,2049254,23817908,12292146,11525762,467671,386763,354431,79907,259959,14565,12226,126,27,2049254,23817908,12810865,11007043,478980,415046,354431,79907,259959,14565,136923,123,26,2044094,23794096,13281519,10512577,398357,334673,367017,80824,271628,14565,272126,123,25,1511712,23926134,13672646,10253488,586586,364811,378799,84311,279923,14565,12759,124
"제주",11,321550,2694912,2008879,686033,86160,81377,70777,22041,48736,0,4060,29,10,316484,2665824,2051700,614124,71895,103814,70388,22041,48347,0,1697,29,10,316484,2675544,2184780,490764,116881,112734,70388,22041,48347,0,1317,32,10,316484,2915824,2305049,610775,106453,128548,70388,22041,48347,0,4108,33,10,317209,2942009,2516124,425885,211075,141450,71936,22647,49289,0,5869,33,10,321259,2966594,2674877,291717,158943,166609,71936,22647,49289,0,11034,30,10,320648,3431942,2975230,456712,168435,170536,71936,22647,49289,0,3664,37,9,314058,3410812,3189660,221152,236612,207424,69236,21147,48089,0,15210,36,9,314058,3410812,3352150,58662,161258,142597,69236,21147,48089,0,16419,39,10,460684,5832037,3420040,2411997,46731,75118,69844,21317,48527,0,9966,34
