"시도(1)",2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"대전",2,110,8,2,31976,9013,2452,2141,4420,2348,0,0,0,0,0,0,0,0,4,249,6,5,48076,10272,2452,7820,0,2780,0,0,0,0,0,0,0,0,5,239,6,5,44281,10272,2452,7820,0,24027,0,0,0,0,0,0,0,0,5,239,6,5,35764,10272,2452,7820,0,24027,0,0,0,0,0,0,0,0,5,239,6,5,36406,10272,2452,7820,0,24027,0,0,0,0,0,0,0,0,5,259,8,5,55201,10407,3160,7247,0,2644,0,0,0,0,0,0,0,0,4,271,8,5,56854,10461,3010,7451,0,2509,0,0,0,0,0,0,0,0,4,607,11,5,137804,62851,18796,44055,0,5809,8921678,5705413,7881229,0,0,7657006,224223,1040449,4,1307,14,7,253766,62818,2672,0,60146,64583,19242,44201,1140,11579,11290627,7055513,9356962,0,0,9101190,255772,1933665,2,1242,16,325071,52574,110,0,52464,0,234870,62740,58127,114003,12178,11591664,7302748,4612812,0,0,4535936,76876,2689937
"울산",12,124,7,15,44708,7584,2192,4475,917,518,2938247,1762948,748083,0,0,748083,0,1014865,13,127,7,16,28739,7626,2192,4517,917,509,0,0,0,0,0,0,0,0,12,47,7,15,5291,3722,1021,2694,7,37,0,0,0,0,0,0,0,0,6,227,8,6,75905,15284,1010,2441,11833,5506,10706616,0,9639850,0,0,9135283,504567,1066766,4,374,9,6,96372,28605,17139,9359,2107,3922,12587420,7696926,7152842,0,307424,6028789,816628,0,4,374,9,6,108332,28605,17139,9359,2107,4026,12334239,7495466,6936341,0,274100,5803648,858594,559125,4,383,9,6,112585,28605,17139,9359,2107,4133,12977328,7916794,7150927,0,297762,5383155,1470010,765867,4,383,9,6,112236,28605,17139,9359,2107,4133,11507735,7082043,7159951,0,320310,6209378,630263,258069,4,383,9,6,69756,16253,4441,11812,0,28605,17139,9359,2107,4238,15673866,14248969,12841346,0,0,0,12841346,1407623,3,383,9,73235,16027,4015,12012,0,0,28605,17139,9359,2107,5292,14459243,14459243,4111754,0,0,877147,3234607,0
"세종",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,30,8,9,4881,2400,442,1958,0,15,0,0,0,0,0,0,0,0,1,30,8,9,4340,2400,442,1958,0,19,0,0,0,0,0,0,0,0,2,95,8,10,10994,24400,22442,1958,0,1719,0,0,0,0,0,0,0,0,2,95,10,10,11575,2621,442,1958,221,2505,0,0,0,0,0,0,0,0,2,95,10,8,15757,24500,442,1958,22100,1725,0,0,0,0,0,0,0,0,2,95,10,8,14892,24500,441,1959,22100,22101,0,0,0,0,0,0,0,0,3,145,10,9,15369,10637,1515,6167,2955,35500,3741,9659,22100,3243,0,0,0,0,0,0,0,0,4,260,9,17161,6893,1376,5517,0,0,56000,3741,9659,42600,5080,175989,96794,65670,0,0,0,65670,0
"경기",63,14858,9,148,757743,300918,47036,218767,35115,70096,1527000,1123200,1123200,856460,31470,0,235270,0,58,15132,9,151,895681,320549,50178,226880,43491,72242,1089614,812017,812017,670151,45252,0,96614,0,58,15377,9,143,851302,287907,61617,200123,26167,59300,1675916,1326197,1177603,764059,45564,0,367980,148594,65,12440,9,133,916764,294038,60393,209102,24543,64591,1626376,802804,1626376,757546,45258,0,823572,0,62,12463,9,136,809411,444784,74940,264182,105662,57236,1786186,1557938,1557938,553822,33103,0,971013,0,50,12005,9,143,866985,451583,81871,281726,87986,58762,2035895,1821677,1821677,519777,31069,0,1270831,0,49,11176,9,179,891077,510896,80678,289705,140513,217140,1382663,1170302,882507,423272,27994,0,431241,287795,46,4105,9,144,1082608,515436,79803,291252,144381,88424,1384625,360189,876418,485628,390790,0,0,195336,53,4788,9,139,1162124,182127,91051,84148,6928,527752,81518,301853,144381,3602632,3832311,1928481,1370979,378268,24145,254578,713988,2288870,49,5800,10,1485991,314357,57926,126542,6953,122936,801464,111587,287466,402411,102235,6180706,3164336,2567470,202572,12374,179596,2172928,1733587
"강원",19,1078,8,50,114711,37948,10727,27220,0,7851,0,0,0,0,0,0,0,0,23,900,7,56,105390,37062,10453,26609,0,7468,1357093,814255,814255,767191,0,0,47064,0,21,805,7,56,92604,43339,12253,25746,5340,8478,0,0,0,0,0,0,0,0,22,820,7,55,97293,47951,13434,34517,0,9147,0,0,0,0,0,0,0,0,21,840,7,54,93725,46356,12390,33966,0,6060,0,0,0,0,0,0,0,0,20,977,7,57,128346,74399,20559,41300,12540,7685,0,0,0,0,0,0,0,0,19,998,7,56,139726,74422,20559,41323,12540,11942,1053957,1053957,887,887,0,0,0,0,19,936,7,52,117416,71236,19644,39052,12540,10348,1053957,1053957,632374,632374,0,0,0,0,21,996,7,59,125602,31031,406,6636,23989,73028,19627,39144,14257,14201,1057965,1057965,632568,632568,0,0,0,0,22,919,8,116236,30782,1203,4907,23163,1509,95539,36277,40147,19115,15410,2189958,624480,624214,633,0,623581,0,0
"충북",8,333,6,14,92055,13101,3706,5395,4000,4397,0,0,0,0,0,0,0,0,7,311,8,11,93484,13101,3706,5395,4000,4662,0,0,0,0,-,0,0,0,8,339,7,14,83008,14771,4165,6606,4000,4039,0,0,0,0,0,0,0,0,9,408,8,23,98466,22147,6178,11969,4000,5241,0,0,0,0,0,0,0,0,12,578,11,18,154730,44154,13347,26807,4000,6737,3643145,2282581,1344693,1344693,0,0,0,937888,9,633,9,21,149185,45432,13730,27702,4000,8186,5313564,3174777,1603024,1603024,0,0,0,1571753,10,643,10,23,149977,47675,14323,29352,4000,9455,5180664,3108398,2906461,2906461,0,0,0,201937,10,703,10,24,159860,47757,14323,29434,4000,11724,5133843,2870774,2668837,2668837,0,0,0,201937,10,701,10,25,166557,24962,6301,15136,3525,47735,14323,29412,4000,13099,4794983,2841452,2622369,1273083,0,1349286,0,219083,10,629,12,174227,26528,12346,11114,3068,0,55348,16606,34742,4000,14378,4959025,2933871,2911025,807192,0,2103833,0,22846
"충남",19,525,8,31,85142,44948,11390,32498,1060,15360,0,0,0,0,0,0,0,0,18,513,9,30,82130,44256,11462,31734,1060,16256,0,0,0,0,0,0,0,0,14,483,7,22,77747,42943,12736,29147,1060,17050,0,0,0,0,0,0,0,0,17,564,8,22,97633,65214,27210,36944,1060,18972,0,0,0,0,0,0,0,0,17,564,8,23,102807,65954,25223,39671,1060,17967,0,0,0,0,0,0,0,0,17,586,8,25,113730,70454,26153,43241,1060,16783,0,0,0,0,0,0,0,0,15,606,8,28,124050,75962,25767,49135,1060,353188,0,0,0,0,0,0,0,0,15,586,8,25,129461,71598,24836,46762,0,19840,0,0,0,0,0,0,0,0,15,581,8,28,156520,33904,13052,17890,2962,70958,24506,46452,0,19714,0,0,0,0,0,0,0,0,15,534,8,117227,32540,1239,20110,1532,9659,54565,11712,42853,0,23527,0,0,0,0,0,0,0,0
"전북",13,830,7,51,33206,28611,6962,16399,5250,9213,0,0,0,0,0,0,0,0,17,830,7,53,42410,28647,6962,16435,5250,8779,0,0,0,0,0,0,0,0,14,837,7,48,129396,33147,8312,19585,5250,9167,0,0,0,0,0,0,0,0,12,612,7,45,125199,32803,7988,19565,5250,9154,0,0,0,0,0,0,0,0,21,690,7,38,137850,44572,14085,25237,5250,11211,0,0,0,0,0,0,0,0,13,715,7,40,140783,54895,19650,29995,5250,11531,0,0,0,0,0,0,0,0,12,750,7,44,136032,47217,14240,27727,5250,11855,0,0,0,0,0,0,0,0,11,666,7,36,109855,65183,48792,16391,0,17508,10999887,10849033,6766242,6766242,0,0,0,4082791,12,688,8,30,128221,31905,18982,4284,8639,99950,28117,21324,50509,17283,12267667,7973984,4544942,3773404,0,771538,0,3699080,11,675,9,134106,27675,2702,1019,23954,0,98659,27960,20190,50509,15902,12761432,8747692,4447828,3793204,0,0,654624,3670310
"전남",32,820,7,58,137964,43124,12402,22653,8068,6958,0,101102,101102,101102,0,0,0,0,36,617,6,72,168289,46485,13519,25633,7332,6262,583588,294692,294692,294692,0,0,0,0,34,601,6,69,124910,44743,13827,25291,5624,6689,120547,94027,94027,94027,0,0,0,0,35,647,6,66,112387,53086,15467,29494,8124,8320,1871540,1836170,1836170,1836170,0,0,0,0,42,641,6,64,142056,53793,15986,28843,8964,9716,1861679,1838490,1838490,1838490,0,0,0,0,35,13728,6,66,1572743,53490,16398,28128,8964,9681,1759117,1731347,1731347,1731347,0,0,0,0,36,13728,6,70,844688,50701,16049,25688,8964,9908,825450,825450,825450,825450,0,0,0,0,38,14099,6,74,907510,115271,43649,58419,13203,15018,827274,827274,827274,827274,0,0,0,0,38,14183,6,71,185596,47942,29926,7467,10549,121927,45693,63031,13203,16413,1544727,1318359,1229804,1076601,0,0,153203,0,34,13939,6,182145,22772,7724,5674,9374,0,108245,40202,54840,13203,13543,1427443,1023370,1158585,1105060,0,0,53525,0
"경북",25,597,6,42,122504,35260,8106,23188,3966,11216,0,0,0,0,0,0,0,0,23,395,6,39,87987,33804,8106,21732,3966,9282,0,0,0,0,0,0,0,0,22,425,6,43,85434,39574,9771,25837,3966,9914,-,-,0,0,0,0,0,0,23,427,6,44,80368,39607,9771,25870,3966,10003,-,-,0,0,0,0,0,0,24,451,6,46,95718,41263,9110,28187,3966,9110,0,0,0,0,0,0,0,0,20,409,6,38,95057,48857,9721,35170,3966,9721,0,0,0,0,0,0,0,0,21,426,5,36,92844,48735,9945,34824,3966,8864,-,-,0,0,0,0,0,0,17,377,4,30,84454,27240,6009,17265,3966,8943,0,0,0,0,0,0,0,0,20,476,7,39,99284,19855,3837,14227,1791,52628,15029,30667,6932,11097,0,0,0,0,0,0,0,0,21,961,9,184871,75467,1750,8272,41766,23679,255251,94208,43290,117753,14981,960568,633975,585462,549873,31528,0,4061,48513
"경남",36,989,6,63,213967,65672,14715,41427,9530,14645,0,0,0,0,0,0,0,0,34,1128,7,78,218169,67906,16811,41565,9530,14484,1017831,610699,252592,0,0,0,252592,765239,32,1058,7,94,184045,138158,30699,97929,9530,17828,1364944,818966,205842,0,0,0,205842,613124,35,1159,8,102,206111,151979,34921,107547,9511,20745,2479593,1570723,895833,361569,0,0,534264,1194378,36,1392,8,86,323827,163180,32336,120581,10263,25335,3354538,2173145,1707675,1185350,95496,0,426829,418322,31,1632,8,82,348114,172934,35235,127436,10263,28269,5524804,3591169,2186652,1832404,120853,0,233395,498870,31,1720,7,80,365044,174325,35909,129053,9363,28543,6046935,3891795,2371698,1744156,390814,0,236728,1520096,26,1618,9,66,354581,173106,39044,124699,9363,32930,5538773,3626432,2482289,2383277,164,0,98848,1005516,26,1548,9,59,358047,63582,4944,40285,18353,173669,39844,126612,7213,32581,5638155,3692940,3467906,1665858,162,1801886,0,198235,32,1623,9,415194,90746,5253,48899,15224,21370,198180,43809,147158,7213,34239,5567178,3549133,4000041,1175096,0,2608948,215997,668929
"제주",36,266,8,14,21977,15964,6060,9904,0,3345,0,0,0,0,0,0,0,0,6,271,8,14,74399,16051,6060,9991,0,3986,0,0,0,0,0,0,0,0,6,272,8,15,77333,16051,6060,9991,0,3986,0,0,0,0,0,0,0,0,14,313,11,16,77262,30755,10307,20448,0,4489,0,0,0,0,0,0,0,0,14,285,11,16,79807,30755,10307,20448,0,5382,0,0,0,0,0,0,0,0,7,286,14,18,88516,24446,8678,15768,0,5418,0,0,0,0,0,0,0,0,7,286,14,18,86359,24446,8678,15768,0,6657,0,0,0,0,0,0,0,0,9,286,13,18,83107,24446,8678,15768,0,8210,0,0,0,0,0,0,0,0,12,864,10,21,134608,13966,675,3904,9387,32848,9610,23238,0,9804,0,0,0,0,0,0,0,0,9,854,10,146479,15718,0,447,15271,0,31907,5915,25992,0,13489,0,0,0,0,0,0,0,0
